1555045838.501000, Muse-5A55/variance_notch_filtered_eeg, 90.66456, 40.462906, 14.376227, 72.04842
1555045838.501000, Muse-5A55/eeg, 833.2601, 854.21246, 849.7802, 820.7692, nan, nan
1555045838.501000, Muse-5A55/notch_filtered_eeg, 831.88513, 847.61804, 851.7228, 822.24
1555045838.501000, Muse-5A55/variance_eeg, 104.09036, 42.172295, 15.16359, 82.749886
1555045838.501000, Muse-5A55/variance_notch_filtered_eeg, 90.66456, 40.462906, 14.376227, 72.04842
1555045838.501000, Muse-5A55/eeg, 819.9634, 850.989, 850.18317, 833.2601, nan, nan
1555045838.501000, Muse-5A55/notch_filtered_eeg, 833.31006, 851.5904, 848.99896, 824.37964
1555045838.501000, Muse-5A55/variance_eeg, 104.09036, 42.172295, 15.16359, 82.749886
1555045838.501000, Muse-5A55/variance_notch_filtered_eeg, 90.66456, 40.462906, 14.376227, 72.04842
1555045838.501000, Muse-5A55/eeg, 828.022, 848.1685, 848.97437, 827.2161, nan, nan
1555045838.501000, Muse-5A55/notch_filtered_eeg, 828.48456, 850.0086, 850.75757, 836.6007
1555045838.501000, Muse-5A55/variance_eeg, 104.09036, 42.172295, 15.16359, 82.749886
1555045838.502000, Muse-5A55/variance_notch_filtered_eeg, 90.66456, 40.462906, 14.376227, 72.04842
1555045838.502000, Muse-5A55/eeg, 836.08057, 846.55676, 848.5714, 834.4689, nan, nan
1555045838.502000, Muse-5A55/notch_filtered_eeg, 832.6185, 849.14056, 850.3406, 828.59985
1555045838.502000, Muse-5A55/variance_eeg, 104.09036, 42.172295, 15.16359, 82.749886
1555045838.502000, Muse-5A55/variance_notch_filtered_eeg, 90.66456, 40.462906, 14.376227, 72.04842
1555045838.502000, Muse-5A55/eeg, 837.6923, 847.76556, 848.1685, 844.1392, nan, nan
1555045838.502000, Muse-5A55/notch_filtered_eeg, 831.06683, 850.8761, 846.9779, 831.36224
1555045838.502000, Muse-5A55/variance_eeg, 104.09036, 42.172295, 15.16359, 82.749886
1555045838.502000, Muse-5A55/variance_notch_filtered_eeg, 90.66456, 40.462906, 14.376227, 72.04842
1555045838.502000, Muse-5A55/eeg, 829.6337, 852.6007, 846.9597, 840.9158, nan, nan
1555045838.502000, Muse-5A55/notch_filtered_eeg, 827.37836, 850.0536, 847.93005, 846.6839
1555045838.502000, Muse-5A55/variance_eeg, 104.09036, 42.172295, 15.16359, 82.749886
1555045838.502000, Muse-5A55/variance_notch_filtered_eeg, 90.66456, 40.462906, 14.376227, 72.04842
1555045838.502000, Muse-5A55/eeg, 821.1722, 855.42126, 851.79486, 834.87177, nan, nan
1555045838.502000, Muse-5A55/notch_filtered_eeg, 831.7641, 849.06256, 847.0863, 841.74426
1555045838.502000, Muse-5A55/variance_eeg, 104.09036, 42.172295, 15.16359, 82.749886
1555045838.502000, Muse-5A55/variance_notch_filtered_eeg, 90.66456, 40.462906, 14.376227, 72.04842
1555045838.502000, Muse-5A55/eeg, 829.2308, 853.00366, 849.3773, 829.2308, nan, nan
1555045838.502000, Muse-5A55/elements/blink, 0
1555045838.502000, Muse-5A55/elements/jaw_clench, 0
1555045838.502000, Muse-5A55/elements/touching_forehead, 1
1555045838.502000, Muse-5A55/elements/alpha_absolute, 0.68402994, 0.08441609, -0.031328693, 0.6071436
1555045838.502000, Muse-5A55/elements/beta_absolute, 0.60975266, -0.09250612, -0.4039277, 0.9333255
1555045838.502000, Muse-5A55/elements/delta_absolute, 0.7521935, 0.7728532, -0.014987116, 1.4019963
1555045838.502000, Muse-5A55/elements/theta_absolute, 0.56313527, 0.39840907, -0.21845318, 1.34417
1555045838.502000, Muse-5A55/elements/gamma_absolute, 0.20443739, -0.5581592, -0.61578, 0.6235535
1555045838.502000, Muse-5A55/elements/alpha_relative, 0.24383137, 0.11320009, 0.29650125, 0.0630879
1555045838.502000, Muse-5A55/elements/beta_relative, 0.20550023, 0.07532247, 0.1257267, 0.13369896
1555045838.503000, Muse-5A55/elements/delta_relative, 0.28526807, 0.5524384, 0.3078705, 0.39336777
1555045838.503000, Muse-5A55/elements/theta_relative, 0.18458438, 0.23325972, 0.19270901, 0.3443281
1555045838.503000, Muse-5A55/elements/gamma_relative, 0.08081595, 0.025779322, 0.07719252, 0.0655173
1555045838.503000, Muse-5A55/elements/alpha_session_score, 0.45454547, 0.37209302, 0.1875, 0.26153848
1555045838.512000, Muse-5A55/elements/beta_session_score, 0.35135135, 0.54545456, 0.078431375, 1.0
1555045838.512000, Muse-5A55/elements/delta_session_score, 0.47945204, 0.71304345, 0.17948718, 1.0
1555045838.512000, Muse-5A55/elements/theta_session_score, 0.5, 0.75490195, 0.22727273, 1.0
1555045838.512000, Muse-5A55/elements/gamma_session_score, 0.0, 0.0, 0.104166664, 0.7659575
1555045838.512000, Muse-5A55/elements/is_good, 1.0, 1.0, 1.0, 1.0
1555045838.512000, Muse-5A55/elements/horseshoe, 1.0, 1.0, 1.0, 1.0
1555045838.512000, Muse-5A55/notch_filtered_eeg, 826.44855, 851.2754, 851.1871, 833.3524
1555045838.512000, Muse-5A55/variance_eeg, 121.15317, 42.806393, 14.541386, 124.16591
1555045838.512000, Muse-5A55/variance_notch_filtered_eeg, 104.85102, 40.71138, 13.925767, 111.659744
1555045838.512000, Muse-5A55/eeg, 823.1868, 849.3773, 848.5714, 835.2747, nan, nan
1555045838.512000, Muse-5A55/notch_filtered_eeg, 831.85565, 853.26056, 852.2952, 827.0849
1555045838.512000, Muse-5A55/variance_eeg, 121.15317, 42.806393, 14.541386, 124.16591
1555045838.512000, Muse-5A55/variance_notch_filtered_eeg, 104.85102, 40.71138, 13.925767, 111.659744
1555045838.513000, Muse-5A55/eeg, 831.6484, 847.3626, 855.0183, 824.3956, nan, nan
1555045838.513000, Muse-5A55/notch_filtered_eeg, 825.793, 853.924, 848.5545, 836.76276
1555045838.513000, Muse-5A55/variance_eeg, 121.15317, 42.806393, 14.541386, 124.16591
1555045838.513000, Muse-5A55/variance_notch_filtered_eeg, 104.85102, 40.71138, 13.925767, 111.659744
1555045838.513000, Muse-5A55/eeg, 840.5128, 850.989, 850.989, 830.0366, nan, nan
1555045838.513000, Muse-5A55/drlref, 1683443.2, 1697948.8
1555045838.513000, Muse-5A55/drlref, 1683443.2, 1697948.8
1555045838.513000, Muse-5A55/drlref, 1683443.2, 1697948.8
1555045838.513000, Muse-5A55/drlref, 1683443.2, 1697948.8
1555045838.513000, Muse-5A55/drlref, 1683443.2, 1697948.8
1555045838.513000, Muse-5A55/drlref, 1683443.2, 1697948.8
1555045838.513000, Muse-5A55/notch_filtered_eeg, 823.0592, 848.35156, 853.66437, 830.591
1555045838.513000, Muse-5A55/variance_eeg, 121.15317, 42.806393, 14.541386, 124.16591
1555045838.513000, Muse-5A55/variance_notch_filtered_eeg, 104.85102, 40.71138, 13.925767, 111.659744
1555045838.513000, Muse-5A55/eeg, 824.7985, 847.3626, 848.5714, 849.7802, nan, nan
1555045838.513000, Muse-5A55/notch_filtered_eeg, 835.73346, 848.75616, 849.64404, 816.21576
1555045838.513000, Muse-5A55/variance_eeg, 121.15317, 42.806393, 14.541386, 124.16591
1555045838.513000, Muse-5A55/variance_notch_filtered_eeg, 104.85102, 40.71138, 13.925767, 111.659744
1555045838.513000, Muse-5A55/eeg, 820.7692, 849.3773, 844.5421, 819.9634, nan, nan
1555045838.513000, Muse-5A55/notch_filtered_eeg, 831.24695, 846.8791, 846.12115, 849.047
1555045838.513000, Muse-5A55/variance_eeg, 121.15317, 42.806393, 14.541386, 124.16591
1555045838.513000, Muse-5A55/variance_notch_filtered_eeg, 104.85102, 40.71138, 13.925767, 111.659744
1555045838.513000, Muse-5A55/eeg, 831.6484, 853.8095, 844.5421, 832.0513, nan, nan
