1555045806.000000, Muse-5A55/eeg, 855.42126, 854.21246, 857.4359, 847.3626, nan, nan
1555045806.000000, Muse-5A55/notch_filtered_eeg, 846.74756, 852.91235, 857.53015, 842.6684
1555045806.000000, Muse-5A55/variance_eeg, 122.006386, 17.456707, 18.822449, 103.96317
1555045806.000000, Muse-5A55/variance_notch_filtered_eeg, 95.36887, 15.27372, 17.7148, 93.71654
1555045806.000000, Muse-5A55/eeg, 852.6007, 857.03296, 853.4066, 837.6923, nan, nan
1555045806.000000, Muse-5A55/notch_filtered_eeg, 851.9961, 853.2951, 856.36383, 841.107
1555045806.000000, Muse-5A55/variance_eeg, 122.006386, 17.456707, 18.822449, 103.96317
1555045806.000000, Muse-5A55/variance_notch_filtered_eeg, 95.36887, 15.27372, 17.7148, 93.71654
1555045806.000000, Muse-5A55/eeg, 838.9011, 854.61536, 853.8095, 834.87177, nan, nan
1555045806.000000, Muse-5A55/drlref, 1683443.2, 1697948.8
1555045806.000000, Muse-5A55/drlref, 1683443.2, 1697948.8
1555045806.000000, Muse-5A55/drlref, 1683443.2, 1697948.8
1555045806.000000, Muse-5A55/drlref, 1683443.2, 1697948.8
1555045806.000000, Muse-5A55/drlref, 1683443.2, 1698754.6
1555045806.001000, Muse-5A55/drlref, 1683443.2, 1697948.8
1555045806.001000, Muse-5A55/notch_filtered_eeg, 847.03015, 853.8499, 854.7378, 836.605
1555045806.001000, Muse-5A55/variance_eeg, 122.006386, 17.456707, 18.822449, 103.96317
1555045806.001000, Muse-5A55/variance_notch_filtered_eeg, 95.36887, 15.27372, 17.7148, 93.71654
1555045806.004000, Muse-5A55/eeg, 842.9304, 849.7802, 856.63007, 836.08057, nan, nan
1555045806.004000, Muse-5A55/notch_filtered_eeg, 838.3761, 853.2349, 853.05, 837.78955
1555045806.004000, Muse-5A55/variance_eeg, 122.006386, 17.456707, 18.822449, 103.96317
1555045806.004000, Muse-5A55/variance_notch_filtered_eeg, 95.36887, 15.27372, 17.7148, 93.71654
1555045806.004000, Muse-5A55/eeg, 842.9304, 848.5714, 852.1978, 838.9011, nan, nan
1555045806.004000, Muse-5A55/notch_filtered_eeg, 845.1325, 851.2892, 855.2693, 840.0885
1555045806.004000, Muse-5A55/variance_eeg, 122.006386, 17.456707, 18.822449, 103.96317
1555045806.004000, Muse-5A55/variance_notch_filtered_eeg, 95.36887, 15.27372, 17.7148, 93.71654
1555045806.005000, Muse-5A55/eeg, 835.2747, 849.3773, 853.00366, 844.94507, nan, nan
1555045806.005000, Muse-5A55/notch_filtered_eeg, 840.994, 849.8474, 852.21277, 836.3347
1555045806.005000, Muse-5A55/variance_eeg, 122.006386, 17.456707, 18.822449, 103.96317
1555045806.005000, Muse-5A55/variance_notch_filtered_eeg, 95.36887, 15.27372, 17.7148, 93.71654
1555045806.005000, Muse-5A55/eeg, 829.2308, 848.5714, 855.0183, 841.7216, nan, nan
1555045806.005000, Muse-5A55/notch_filtered_eeg, 831.6317, 848.07776, 850.62244, 838.2776
1555045806.005000, Muse-5A55/variance_eeg, 122.006386, 17.456707, 18.822449, 103.96317
1555045806.005000, Muse-5A55/variance_notch_filtered_eeg, 95.36887, 15.27372, 17.7148, 93.71654
1555045806.005000, Muse-5A55/eeg, 840.5128, 847.3626, 848.5714, 832.4542, nan, nan
1555045806.005000, Muse-5A55/notch_filtered_eeg, 833.5017, 845.4268, 855.86945, 846.75836
1555045806.005000, Muse-5A55/variance_eeg, 122.006386, 17.456707, 18.822449, 103.96317
1555045806.005000, Muse-5A55/variance_notch_filtered_eeg, 95.36887, 15.27372, 17.7148, 93.71654
1555045806.005000, Muse-5A55/eeg, 850.58606, 846.55676, 850.58606, 844.5421, nan, nan
1555045806.005000, Muse-5A55/notch_filtered_eeg, 845.35046, 846.4228, 850.658, 840.4501
1555045806.005000, Muse-5A55/variance_eeg, 122.006386, 17.456707, 18.822449, 103.96317
1555045806.005000, Muse-5A55/variance_notch_filtered_eeg, 95.36887, 15.27372, 17.7148, 93.71654
1555045806.005000, Muse-5A55/eeg, 847.76556, 848.5714, 853.00366, 850.989, nan, nan
1555045806.005000, Muse-5A55/notch_filtered_eeg, 845.5896, 847.67554, 848.52234, 839.7142
1555045806.005000, Muse-5A55/variance_eeg, 122.006386, 17.456707, 18.822449, 103.96317
1555045806.006000, Muse-5A55/variance_notch_filtered_eeg, 95.36887, 15.27372, 17.7148, 93.71654
1555045806.006000, Muse-5A55/eeg, 839.304, 847.3626, 851.39197, 838.49817, nan, nan
1555045806.006000, Muse-5A55/notch_filtered_eeg, 834.0128, 848.44946, 853.1435, 847.4554
1555045806.006000, Muse-5A55/variance_eeg, 122.006386, 17.456707, 18.822449, 103.96317
1555045806.006000, Muse-5A55/variance_notch_filtered_eeg, 95.36887, 15.27372, 17.7148, 93.71654
1555045806.006000, Muse-5A55/eeg, 819.15753, 844.1392, 853.00366, 838.49817, nan, nan
1555045806.006000, Muse-5A55/notch_filtered_eeg, 840.1007, 847.99066, 851.38336, 840.40234
1555045806.006000, Muse-5A55/variance_eeg, 122.006386, 17.456707, 18.822449, 103.96317
1555045806.006000, Muse-5A55/variance_notch_filtered_eeg, 95.36887, 15.27372, 17.7148, 93.71654
1555045806.006000, Muse-5A55/eeg, 819.9634, 846.55676, 850.989, 842.9304, nan, nan
1555045806.006000, Muse-5A55/notch_filtered_eeg, 834.5102, 846.37866, 851.1335, 836.12396
1555045806.006000, Muse-5A55/variance_eeg, 122.006386, 17.456707, 18.822449, 103.96317
1555045806.006000, Muse-5A55/variance_notch_filtered_eeg, 95.36887, 15.27372, 17.7148, 93.71654
1555045806.006000, Muse-5A55/eeg, 834.0659, 851.79486, 849.3773, 834.4689, nan, nan
1555045806.006000, Muse-5A55/notch_filtered_eeg, 824.13153, 847.5538, 851.9978, 841.89325
1555045806.006000, Muse-5A55/variance_eeg, 122.006386, 17.456707, 18.822449, 103.96317
1555045806.006000, Muse-5A55/variance_notch_filtered_eeg, 95.36887, 15.27372, 17.7148, 93.71654
1555045806.006000, Muse-5A55/eeg, 848.5714, 853.4066, 850.58606, 832.0513, nan, nan
1555045806.006000, Muse-5A55/gyro, -2.4075317, 2.9309082, 4.9720764
1555045806.006000, Muse-5A55/gyro, -2.594452, 2.8710938, 5.181427
1555045806.006000, Muse-5A55/gyro, -2.7290344, 3.2598877, 5.532837
1555045806.006000, Muse-5A55/acc, 0.2310791, 0.1706543, 0.9706421
1555045806.006000, Muse-5A55/acc, 0.23797607, 0.17175293, 0.9673462
1555045806.006000, Muse-5A55/acc, 0.23815918, 0.17254639, 0.96325684
1555045806.088000, Muse-5A55/notch_filtered_eeg, 825.62915, 849.7547, 852.07245, 841.3874
1555045806.088000, Muse-5A55/variance_eeg, 122.006386, 17.456707, 18.822449, 103.96317
1555045806.089000, Muse-5A55/variance_notch_filtered_eeg, 95.36887, 15.27372, 17.7148, 93.71654
1555045806.089000, Muse-5A55/eeg, 849.7802, 850.18317, 853.8095, 851.39197, nan, nan
1555045806.090000, Muse-5A55/notch_filtered_eeg, 838.1168, 853.2215, 851.0238, 834.12604
1555045806.090000, Muse-5A55/variance_eeg, 122.006386, 17.456707, 18.822449, 103.96317
1555045806.090000, Muse-5A55/variance_notch_filtered_eeg, 95.36887, 15.27372, 17.7148, 93.71654
1555045806.091000, Muse-5A55/eeg, 833.663, 853.4066, 854.21246, 852.6007, nan, nan
1555045806.091000, Muse-5A55/notch_filtered_eeg, 853.4242, 852.4613, 852.27075, 850.7359
1555045806.091000, Muse-5A55/variance_eeg, 122.006386, 17.456707, 18.822449, 103.96317
1555045806.091000, Muse-5A55/variance_notch_filtered_eeg, 95.36887, 15.27372, 17.7148, 93.71654
1555045806.091000, Muse-5A55/eeg, 837.6923, 853.00366, 854.21246, 853.8095, nan, nan
1555045806.091000, Muse-5A55/notch_filtered_eeg, 847.78674, 854.09186, 853.7551, 853.50543
1555045806.091000, Muse-5A55/variance_eeg, 122.006386, 17.456707, 18.822449, 103.96317
1555045806.091000, Muse-5A55/variance_notch_filtered_eeg, 95.36887, 15.27372, 17.7148, 93.71654
1555045806.091000, Muse-5A55/eeg, 850.18317, 848.5714, 854.61536, 852.6007, nan, nan
1555045806.091000, Muse-5A55/notch_filtered_eeg, 839.62823, 854.37115, 853.6772, 848.53796
1555045806.091000, Muse-5A55/variance_eeg, 122.006386, 17.456707, 18.822449, 103.96317
1555045806.091000, Muse-5A55/variance_notch_filtered_eeg, 95.36887, 15.27372, 17.7148, 93.71654
1555045806.091000, Muse-5A55/eeg, 838.49817, 852.6007, 850.58606, 842.52747, nan, nan
1555045806.091000, Muse-5A55/notch_filtered_eeg, 846.48566, 847.5478, 856.20605, 856.3497
1555045806.091000, Muse-5A55/variance_eeg, 122.006386, 17.456707, 18.822449, 103.96317
1555045806.091000, Muse-5A55/variance_notch_filtered_eeg, 95.36887, 15.27372, 17.7148, 93.71654
1555045806.091000, Muse-5A55/eeg, 836.4835, 853.4066, 853.00366, 846.9597, nan, nan
1555045806.091000, Muse-5A55/notch_filtered_eeg, 835.2978, 848.7628, 853.43884, 851.2507
1555045806.091000, Muse-5A55/variance_eeg, 122.006386, 17.456707, 18.822449, 103.96317
1555045806.091000, Muse-5A55/variance_notch_filtered_eeg, 95.36887, 15.27372, 17.7148, 93.71654
1555045806.092000, Muse-5A55/eeg, 842.52747, 848.1685, 856.63007, 850.989, nan, nan
1555045806.092000, Muse-5A55/elements/blink, 0
1555045806.092000, Muse-5A55/elements/jaw_clench, 0
1555045806.092000, Muse-5A55/elements/touching_forehead, 1
1555045806.092000, Muse-5A55/elements/alpha_absolute, 0.7810922, 0.14937796, 0.053552367, 0.89235824
1555045806.092000, Muse-5A55/elements/beta_absolute, 0.661272, -0.06841655, -0.42041057, 0.46495816
1555045806.092000, Muse-5A55/elements/delta_absolute, 0.09644865, 0.0756868, 0.15758534, -0.12878022
1555045806.092000, Muse-5A55/elements/theta_absolute, 0.38107222, -0.15855366, -0.30978066, 0.21179886
1555045806.092000, Muse-5A55/elements/gamma_absolute, 0.42691708, -0.3719515, -0.7835371, 0.3418011
1555045806.092000, Muse-5A55/elements/alpha_relative, 0.35636675, 0.30838013, 0.3139588, 0.5104247
1555045806.092000, Muse-5A55/elements/beta_relative, 0.27044374, 0.18676344, 0.105416775, 0.19077945
1555045806.094000, Muse-5A55/elements/delta_relative, 0.07366371, 0.26025268, 0.3989382, 0.048617564
1555045806.094000, Muse-5A55/elements/theta_relative, 0.14186563, 0.1517591, 0.13600023, 0.10650556
1555045806.094000, Muse-5A55/elements/gamma_relative, 0.15766019, 0.09284466, 0.045686003, 0.14367278
1555045806.094000, Muse-5A55/elements/alpha_session_score, 0.5283019, 0.5833333, 0.3768116, 0.95652175
1555045806.094000, Muse-5A55/elements/beta_session_score, 0.5652174, 0.78571427, 0.055555556, 0.09677419
1555045806.094000, Muse-5A55/elements/delta_session_score, 0.0, 0.22077923, 0.39285713, 0.0
1555045806.094000, Muse-5A55/elements/theta_session_score, 0.3181818, 0.3561644, 0.23287672, 0.08695652
1555045806.094000, Muse-5A55/elements/gamma_session_score, 0.25, 0.26923078, 0.0, 0.24242425
1555045806.095000, Muse-5A55/elements/is_good, 1.0, 1.0, 1.0, 1.0
1555045806.095000, Muse-5A55/elements/horseshoe, 1.0, 1.0, 1.0, 1.0
1555045806.095000, Muse-5A55/notch_filtered_eeg, 832.5266, 855.0135, 851.86115, 843.02765
1555045806.095000, Muse-5A55/variance_eeg, 125.26165, 17.447233, 20.048853, 105.106735
1555045806.095000, Muse-5A55/variance_notch_filtered_eeg, 99.48384, 15.18777, 19.063326, 95.51
1555045806.095000, Muse-5A55/eeg, 848.97437, 852.1978, 854.61536, 846.55676, nan, nan
1555045806.095000, Muse-5A55/notch_filtered_eeg, 848.1591, 850.5128, 854.4452, 844.42645
1555045806.095000, Muse-5A55/variance_eeg, 125.26165, 17.447233, 20.048853, 105.106735
1555045806.095000, Muse-5A55/variance_notch_filtered_eeg, 99.48384, 15.18777, 19.063326, 95.51
1555045806.095000, Muse-5A55/eeg, 855.42126, 853.8095, 853.00366, 848.1685, nan, nan
1555045806.095000, Muse-5A55/notch_filtered_eeg, 854.5703, 851.1603, 853.46936, 845.675
1555045806.095000, Muse-5A55/variance_eeg, 125.26165, 17.447233, 20.048853, 105.106735
1555045806.095000, Muse-5A55/variance_notch_filtered_eeg, 99.48384, 15.18777, 19.063326, 95.51
1555045806.095000, Muse-5A55/eeg, 849.7802, 851.79486, 852.1978, 849.3773, nan, nan
1555045806.095000, Muse-5A55/notch_filtered_eeg, 855.87897, 856.3914, 852.9141, 851.73846
1555045806.095000, Muse-5A55/variance_eeg, 125.26165, 17.447233, 20.048853, 105.106735
1555045806.095000, Muse-5A55/variance_notch_filtered_eeg, 99.48384, 15.18777, 19.063326, 95.51
1555045806.095000, Muse-5A55/eeg, 850.18317, 856.63007, 851.79486, 852.6007, nan, nan
1555045806.095000, Muse-5A55/notch_filtered_eeg, 851.2883, 852.55115, 854.4155, 856.5049
1555045806.095000, Muse-5A55/variance_eeg, 125.26165, 17.447233, 20.048853, 105.106735
1555045806.103000, Muse-5A55/variance_notch_filtered_eeg, 99.48384, 15.18777, 19.063326, 95.51
1555045806.103000, Muse-5A55/eeg, 854.21246, 856.2271, 853.00366, 861.06226, nan, nan
1555045806.103000, Muse-5A55/gyro, -2.5346375, 3.8056946, 6.0113525
1555045806.103000, Muse-5A55/gyro, -2.1907043, 4.63562, 6.1683655
1555045806.103000, Muse-5A55/gyro, -1.6822815, 6.033783, 5.8094788
1555045806.103000, Muse-5A55/acc, 0.24102783, 0.17218018, 0.9610596
1555045806.103000, Muse-5A55/acc, 0.2529297, 0.17315674, 0.96520996
1555045806.103000, Muse-5A55/acc, 0.26678467, 0.17932129, 0.9790039
1555045806.103000, Muse-5A55/notch_filtered_eeg, 849.0106, 853.96844, 852.5236, 856.7345
1555045806.103000, Muse-5A55/variance_eeg, 125.26165, 17.447233, 20.048853, 105.106735
1555045806.103000, Muse-5A55/variance_notch_filtered_eeg, 99.48384, 15.18777, 19.063326, 95.51
1555045806.103000, Muse-5A55/eeg, 850.18317, 855.0183, 851.79486, 865.4945, nan, nan
1555045806.103000, Muse-5A55/notch_filtered_eeg, 851.83374, 857.7762, 848.5995, 861.32776
1555045806.103000, Muse-5A55/variance_eeg, 125.26165, 17.447233, 20.048853, 105.106735
1555045806.103000, Muse-5A55/variance_notch_filtered_eeg, 99.48384, 15.18777, 19.063326, 95.51
1555045806.103000, Muse-5A55/eeg, 848.5714, 857.8388, 845.34796, 866.30035, nan, nan
1555045806.103000, Muse-5A55/notch_filtered_eeg, 847.902, 857.39105, 849.2793, 859.07837
1555045806.103000, Muse-5A55/variance_eeg, 125.26165, 17.447233, 20.048853, 105.106735
1555045806.103000, Muse-5A55/variance_notch_filtered_eeg, 99.48384, 15.18777, 19.063326, 95.51
1555045806.103000, Muse-5A55/eeg, 846.55676, 857.8388, 846.55676, 850.58606, nan, nan
1555045806.103000, Muse-5A55/notch_filtered_eeg, 851.795, 858.38007, 847.2703, 857.2871
1555045806.103000, Muse-5A55/variance_eeg, 125.26165, 17.447233, 20.048853, 105.106735
1555045806.103000, Muse-5A55/variance_notch_filtered_eeg, 99.48384, 15.18777, 19.063326, 95.51
1555045806.103000, Muse-5A55/eeg, 855.42126, 857.8388, 849.3773, 837.6923, nan, nan
1555045806.103000, Muse-5A55/notch_filtered_eeg, 853.84015, 858.00433, 849.2672, 851.9796
1555045806.103000, Muse-5A55/variance_eeg, 125.26165, 17.447233, 20.048853, 105.106735
1555045806.103000, Muse-5A55/variance_notch_filtered_eeg, 99.48384, 15.18777, 19.063326, 95.51
1555045806.103000, Muse-5A55/eeg, 861.06226, 859.0476, 853.4066, 840.9158, nan, nan
1555045806.104000, Muse-5A55/notch_filtered_eeg, 848.4265, 857.1074, 850.595, 841.48914
1555045806.104000, Muse-5A55/variance_eeg, 125.26165, 17.447233, 20.048853, 105.106735
1555045806.104000, Muse-5A55/variance_notch_filtered_eeg, 99.48384, 15.18777, 19.063326, 95.51
1555045806.104000, Muse-5A55/eeg, 841.31866, 859.0476, 854.21246, 838.49817, nan, nan
1555045806.104000, Muse-5A55/notch_filtered_eeg, 850.3654, 858.87976, 850.7028, 840.2013
1555045806.104000, Muse-5A55/variance_eeg, 125.26165, 17.447233, 20.048853, 105.106735
1555045806.104000, Muse-5A55/variance_notch_filtered_eeg, 99.48384, 15.18777, 19.063326, 95.51
1555045806.104000, Muse-5A55/eeg, 834.0659, 859.0476, 850.18317, 839.707, nan, nan
1555045806.104000, Muse-5A55/notch_filtered_eeg, 842.4256, 858.1167, 853.2547, 835.82416
1555045806.104000, Muse-5A55/variance_eeg, 125.26165, 17.447233, 20.048853, 105.106735
1555045806.104000, Muse-5A55/variance_notch_filtered_eeg, 99.48384, 15.18777, 19.063326, 95.51
1555045806.104000, Muse-5A55/eeg, 839.304, 854.61536, 850.989, 848.5714, nan, nan
1555045806.104000, Muse-5A55/notch_filtered_eeg, 835.7546, 858.7493, 851.3129, 835.03186
